Symbol chromosome start end
TRAFD1 12 112125545 112153604
KIAA0556 16 27550119 27780371
EML2 19 45609400 45645601
TRIM6-TRIM34 11 5596635 5644398
TBC1D10C 11 67403686 67410090
ATP5S 14 50312329 50326715
CHD9 16 53054998 53327502
DOCK5 8 25184772 25415716
SNX13 7 17790761 17940518
RSPH3 6 158976739 159000432
FAM83A 8 123179047 123210079
LRRC1 6 53794497 53924610
FBXL12 19 9810267 9819425
ZNF236 18 76822561 76970732
ZNF385A 12 54369129 54391305
MRTO4 1 19251581 19260128
SLC43A2 17 1569254 1630018
SYT3 19 50621860 50658127
PLA2G2F 1 20139326 20150386
CYB561D2 3 50350695 50368197
COPZ2 17 48026167 48048091
CMTM1 16 66566391 66579135
PSG8 19 42752687 42765692
RBKS 2 27781364 27890396
MVB12B 9 126326844 126507041
PANK4 1 2508531 2526628
RERG 12 15107782 15221477
TNN 1 175067858 175148066
STK31 7 23710167 23832513
MED9 17 17476986 17493220
GPKOW X 49113385 49123801
SPATA18 4 52051331 52097305
PCDH18 4 137518918 137532498
RPTN 1 152153595 152159228
NOP16 5 176383937 176388762
ZNHIT3 17 36486627 36499310
UPRT X 75274059 75304897
APOPT1 14 103562957 103592187
PLPPR4 1 99262953 99309584
TCL1B 14 95686417 95692643
AGAP3 7 151085831 151144436
AMIGO2 12 47075707 47080826
NBPF1 1 16562427 16613605
WDR44 X 118346073 118449961
LRP12 8 104489231 104589024
DNAAF3 19 55158661 55166722
ZNF230 19 44002925 44013926
RNASE9 14 20556093 20560931
FBXO27 19 39024021 39032596
CMTM7 3 32391671 32454841
RAB2B 14 21459020 21476973
SNX16 8 81799583 81842325
PCDHA1 5 140786136 141012344
UBE2R2 9 33817164 33920403
TACO1 17 63600872 63608365
CEP83 12 94265652 94459988
KCNH3 12 49539041 49558308
RIPPLY2 6 83853266 83857515
ALDH16A1 19 49453216 49471050
GAREM1 18 32263521 32470496
TSHZ2 20 52972309 53495330
SLAMF9 1 159951492 159954254
PPP1R16A 8 144477987 144502121
GPR63 6 96794122 96837492
RABEP2 16 28904421 28925211
SEC11A 15 84669537 84716460
H2AFB3 X 155459419 155459935
C21orf59 21 32601674 32612608
HIGD1B 17 44844815 44850480
NOL11 17 67717833 67744208
NSL1 1 212726153 212791797
CST11 20 23450404 23452845
CCDC103 17 44899712 44903679
FBXO15 18 74073343 74147865
FCRLB 1 161721544 161728143
NOL6 9 33461353 33473943
ABHD6 3 58237506 58294738
LAX1 1 203765146 203776372
ANKFN1 17 55965604 56511407
LRIF1 1 110947190 110964197
SMG8 17 59210010 59215250
ATRNL1 10 115093365 115948999
PTDSS2 11 448271 491399
TTC28 22 27978014 28679865
GPR83 11 94377311 94401419
PANK3 5 168555623 168579609
ARMC4 10 27812164 27999067
KIAA1429 8 94487777 94553518
CLCA4 1 86547076 86580758
ZC3H7B 22 41301503 41360147
SEC14L3 22 30447959 30472047
NME9 3 138261437 138330149
PLLP 16 57256097 57284672
PLGLB2 2 87748087 87759476
SEC14L5 16 4958317 5019155
RNPC3 1 103525956 103555239
PI15 8 74824469 74855044
ZNF185 X 152898132 152973481
FAM110B 8 57994509 58149718
ADGRE3 19 14619117 14674918
VWDE 7 12330883 12404226
EIF5AL1 10 79512601 79516440
EFHD1 2 232606057 232682781
CAPRIN2 12 30709552 30823235
UCKL1 20 63939829 63959435
OXGR1 13 96985719 96995826
CGB2 19 49031873 49033238
CC2D1B 1 52350593 52366205
SLC12A9 7 100834036 100867012
CNIH1 14 54426929 54441430
NLRP14 11 7020446 7089025
LSM6 4 146175683 146190061
BCL7C 16 30834041 30894376
JRK 8 142651501 142670132
SERF1A 5 70900663 70918530
DIRAS1 19 2714567 2721392
CSRNP1 3 39141851 39154597
RUSC1 1 155320849 155331118
NUDT11 X 51490011 51496607
ZC3H13 13 45955684 46052761
UTP18 17 51260536 51297933
TBR1 2 161416109 161425062
CKAP2L 2 112736349 112764677
TFAP2D 6 50713544 50773033
TYSND1 10 70137981 70146740
ODF4 17 8339837 8346048
FNDC1 6 159169397 159272108
ELOVL3 10 102225358 102229589
TPSG1 16 1221488 1226384
SNN 16 11668433 11679159
UBL3 13 29764405 29850683
FIZ1 19 55591371 55599696
SERTAD3 19 40440841 40444375
C1orf116 1 207018521 207032761
RNF113A X 119870532 119871828
TSPAN4 11 842824 867116
SH3RF2 5 145936563 146081773
LIN54 4 82924603 83012941
PUDP X 7048920 7148190
AQP6 12 49972837 49977139
BCL2L15 1 113876814 113887547
KIAA1462 10 30012800 30115486
EME2 16 1773228 1776238
P3H4 17 41801952 41812616
COMMD10 5 116083645 116412683
TMEM50A 1 25338298 25362361
DPM3 1 155139891 155140520
TRAPPC8 18 31829173 31943212
CALR3 19 16479057 16496192
P2RY13 3 151326308 151329549
HIST1H2BH 6 26251651 26252075
UBL7 15 74445977 74461188
DECR2 16 401858 412487
PRSS23 11 86791059 86952910
IFT81 12 110124335 110218795
CLDN17 21 30165923 30166653
RBM34 1 235131183 235161616
B3GNT7 2 231395624 231408801
PDCD2L 19 34404398 34426168
PPCS 1 42456341 42473381
TRHDE 12 72272580 72665644
PSG11 19 43007657 43026479
LEPROTL1 8 30095406 30137706
DHX34 19 47349281 47382704
OR6B2 2 240028965 240033858
FAAH2 X 57121879 57489196
HORMAD2 22 30080069 30210882
RAD9B 12 110502200 110532086
ISOC2 19 55452978 55461682
RBM26 13 79311827 79406258
SNX12 X 71056740 71073426
CELF3 1 151700052 151716821
GPR19 12 12660884 12717272
TMEM181 6 158536432 158635435
EMC1 1 19215664 19251559
PRR13 12 53441649 53446643
VCX3A X 6533618 6535118
PTPDC1 9 94030794 94109856
ATG4D 19 10543894 10553423
OPN1MW2 X 154219734 154233286
IL17RE 3 9902062 9916402
GLYR1 16 4803203 4847333
MRPS25 3 15042251 15065311
ISCA2 14 74493720 74495568
KCNG3 2 42442017 42494097
GPR137 11 64269260 64289500
MRPL15 8 54135221 54148514
TMEM25 11 118531088 118546598
GZF1 20 23361639 23373046
HAUS2 15 42548813 42569994
SLC2A6 9 133471094 133479154
PGBD1 6 28281537 28302549
CHCHD6 3 126704220 126960420
TTYH1 19 54415426 54436719
CASS4 20 56411548 56459340
HDGFRP3 15 83115376 83208018
IFT172 2 27444373 27489811
RABL2A 2 113627237 113643398
SNRNP35 12 123458026 123472362
HIST1H2AI 6 27808199 27808667
KIAA1804 1 233327743 233385148
INCA1 17 4988130 4997922
GPAT2 2 96021946 96035245
ZNF597 16 3432422 3443537
PIK3IP1 22 31281593 31292534
ZMIZ2 7 44748547 44769881
MTG2 20 62183025 62203568
VPS51 11 65096115 65111860
AK5 1 77281977 77559969
CDY2A Y 18025787 18027746
NUDT12 5 103548855 103562804
MAPKBP1 15 41774434 41827855
C12orf66 12 64186312 64237341
COQ9 16 57447425 57461275
NAP1L2 X 73212299 73214874
ZNHIT2 11 65116403 65117738
PGAM4 X 77967961 77969638
CACNA2D4 12 1791957 1920865
MRPL38 17 75898643 75905100
LYZL6 17 35934518 35943710
RBMS2 12 56521824 56596196
NUBP1 16 10743321 10769351
SLC10A7 4 146253981 146521971
SEMA5B 3 122909193 123028605
OR10Z1 1 158606439 158607380
KRT80 12 52168996 52192000
BRIX1 5 34915715 34925682
KLHL8 4 87160103 87220608
DSEL 18 67506582 67516730
DYNLRB2 16 80540258 80550811
PNPLA7 9 137459472 137550895
EMC2 8 108443624 108486907
SFXN4 10 119140913 119165709
TMED7 5 115613208 115626179
COX6A2 16 31427731 31428428
KCTD1 18 26454910 26657401
ACOT4 14 73591706 73595766
GID8 20 62938089 62948475
FGF22 19 639895 643703
GNG10 9 111661571 111670246
RNF144A 2 6917392 7076197
SLC25A29 14 100279177 100306547
FAM129B 9 127505338 127579007
GMPPA 2 219498865 219506996
CSHL1 17 63909602 63911323
RNF212 4 1056248 1113794
MAGEE1 X 76427653 76431353
CLMN 14 95181939 95319908
OTOA 16 21664155 21760729
CENPQ 6 49463341 49493107
FBXL19 16 30923055 30948783
SLFN5 17 35243067 35267749
ACTR6 12 100200087 100224424
ARL5B 10 18659335 18681639
SDF2 17 28648356 28662189
CMC4 X 155061622 155071272
CYP26C1 10 93061264 93068697
NKAPL 6 28259297 28260958
TSEN2 3 12484432 12539622
KIAA0226L 13 46342000 46390042
HAUS3 4 2231836 2242164
MPP4 2 201644874 201698834
LYRM7 5 131170914 131205426
PCDHGA11 5 141420970 141512979
RAB4B 19 40778219 40796944
MRPS2 9 135499986 135504673
SKOR1 15 67819704 67834561
SPEF2 5 35617779 35814611
BIN3 8 22620418 22669148
KANSL2 12 48653211 48682252
SERPINB11 18 63702304 63723893
CCDC7 10 32446082 32882864
TEX11 X 70525561 70908717
MYO3B 2 170178145 170655164
MRPL45 17 38297023 38323218
ATP8B4 15 49858238 50181793
MEGF8 19 42325609 42378769
SUSD6 14 69611593 69715144
TSSK6 19 19514219 19515660
C1orf27 1 186375758 186421375
NMS 2 100470482 100483280
PDZD4 X 153802166 153830567
PDP2 16 66880457 66891101
VCX3B X 8464830 8466510
RILPL2 12 123410076 123436733
MRGPRD 11 68980021 68980986
ACER3 11 76860873 77026797
GPN3 12 110452486 110468721
CHIC2 4 54008373 54065427
RUFY3 4 70704686 70808622
SP8 7 20781467 20786889
EPT1 2 26346086 26395891
NOL9 1 6521347 6554598
SLF2 10 100912569 100965134
SMC1B 22 45344063 45413629
NAT9 17 74770547 74776395
LIAS 4 39459024 39477653
CCDC68 18 54901509 54959508
TNFAIP8L1 19 4639514 4655568
PRDM12 9 130664594 130682997
SHPK 17 3608262 3636322
COQ6 14 73949934 73963112
GAS2L3 12 100573646 100628288
SPNS2 17 4498834 4539933
CARF 2 202912218 202987857
ARMT1 6 151452258 151470101
WBSCR17 7 71132414 71713601
BARX1 9 93951627 93955326
LRRC8D 1 89821014 89936432
NHLH1 1 160286369 160372848
RGL1 1 183636047 183928551
LZTS3 20 3162617 3173592
C1orf35 1 228100727 228105411
PGLYRP4 1 153327380 153348841
NDUFB5 3 179604787 179624500
LGR6 1 202193990 202319785
ZNF536 19 30225044 30713538
FAM83B 6 54846643 54945099
ARMC10 7 103074727 103099763
MRPL20 1 1401896 1407834
AAR2 20 36236417 36256941
VAMP5 2 85584408 85593388
ASB3 2 53669980 53787009
WDR73 15 84641495 84654343
SEC31B 10 100486646 100519838
CD300LB 17 74521174 74531474
SOHLH2 13 36168208 36214615
GTDC1 2 143945787 144332534
KPRP 1 152758030 152762053
CWF19L1 10 100232296 100267681
SBNO2 19 1107634 1174283
PROM2 2 95274416 95291320
CASD1 7 94509858 94631872
KIAA1217 10 23694746 24547848
SULT1C4 2 108377957 108388989
SLC35B2 6 44254101 44257890
CARMIL2 16 67645004 67657569
AHNAK2 14 104937253 104978357
NEURL4 17 7315632 7329319
OGFOD1 16 56451417 56477495
ZNF7 8 144827518 144847508
EVI2B 17 31302870 31314389
GNPNAT1 14 52775193 52791668
RPAP1 15 41517176 41544277
SURF2 9 133356545 133361165
ZDHHC21 9 14555501 14693482
FRG2 4 190024367 190028348
METTL23 17 76725873 76733881
TOR3A 1 179081977 179095996
SCRG1 4 173388148 173476691
PKDREJ 22 46255663 46263322
ERVV-2 19 53044738 53051127
ANKLE1 19 17281645 17287646
C15orf41 15 36579603 36810260
SNTG2 2 950868 1367645
CWC15 11 94962622 94973612
IFFO1 12 6539528 6556083
AP4S1 14 31025106 31096450
STYX 14 52730165 52774989
PDCL2 4 55556523 55592268
NADK2 5 36192589 36242279
DBNDD2 20 45405993 45410610
KLC4 6 43059594 43075099
TRIM45 1 117111055 117121789
NSMCE4A 10 121957088 121975228
CABP2 11 67518947 67523614
IER2 19 13150468 13154908
FBXO17 19 38941401 38975813
TM2D1 1 61681046 61725423
AEN 15 88604681 88632281
BLOC1S4 4 6716115 6717660
RRS1 8 66429028 66430733
SEMA6C 1 151131685 151146664
SSX3 X 48346428 48356753
EML3 11 62602218 62612765
MORC1 3 108958239 109118146
TFAP2E 1 35573370 35595328
TAPT1 4 16160505 16227158
FAM234A 16 234546 269943
MTERF4 2 241074680 241102359
C9orf24 9 34379019 34398577
SELO 22 50200979 50217616
ASB1 2 238426741 238452250
ZCCHC17 1 31296982 31365722
SLC25A18 22 17563165 17590890
GRID2IP 7 6496778 6551436
GHITM 10 84139429 84153555
RHBDD3 22 29259855 29268185
PRTG 15 55611540 55743649
PNPLA5 22 43879678 43892013
POC5 5 75674198 75717488
JSRP1 19 2252251 2256423
OVCA2 17 2041983 2043431
PIGY 4 88520978 88523801
TRIM54 2 27282429 27307439
ALKBH7 19 6372433 6375250
OR1G1 17 3126505 3128253
CDK15 2 201790459 201895550
GPRC5D 12 12940554 12979517
ARGLU1 13 106543314 106568166
AGFG2 7 100539211 100568220
JADE2 5 134524162 134583230
SAMD4A 14 54567612 54793315
SYAP1 X 16719584 16762684
AIG1 6 143059363 143340343
CCDC59 12 82352304 82358805
FRYL 4 48497363 48780312
SEZ6 17 28954905 29006440
EDDM3B 14 20768427 20770948
HAUS5 19 35612744 35625349
EPC2 2 148644811 148788491
ATG4C 1 62784106 62865270
CDC37L1 9 4679553 4708399
ARHGEF16 1 3454583 3481115
ADAM7 8 24440996 24512760
SPINK9 5 148335559 148339849
MOXD1 6 132296055 132401534
TSPAN18 11 44727130 44932427
UBXN7 3 196353490 196454318
ZNF18 17 11977439 11997510
CREBL2 12 12611833 12645108
PRDM8 4 80183741 80204329
DNAAF2 14 49625174 49635230
PDAP1 7 99394673 99408682
PSTPIP2 18 45983536 46072297
NDUFB3 2 201071739 201085750
HEATR4 14 73478484 73558947
WDR7 18 56651343 57029805
TRIM47 17 75874164 75878600
DNAJC1 10 21756548 22003768
LHPP 10 124461772 124614141
MRPL43 10 100977822 100987515
ISM1 20 13221771 13300650
ARV1 1 230979075 231000733
NECAP2 1 16440672 16460090
GLOD4 17 759309 782331
PRDM10 11 129899706 130003050
ELMOD2 4 140524158 140553770
DIRC2 3 122795054 122881139
ZRANB3 2 135196969 135531322
TMEM98 17 32927910 32941649
ZNF41 X 47444779 47483234
LILRB5 19 54250405 54257308
CAMSAP1 9 135808487 135907251
ASZ1 7 117363222 117427523
ELP5 17 7252053 7259940
LRR1 14 49598697 49614672
RITA1 12 113185526 113192368
POLR3G 5 90474229 90514677
HEPN1 11 124919250 124920677
CYYR1 21 26466209 26573284
OLFM2 19 9853718 9936552
ZFAND3 6 37819496 38154624
RAI2 X 17800049 17861346
ACSBG2 19 6135633 6193103
GRIP2 3 14489111 14602996
KCNH6 17 63523334 63548977
DCDC5 11 30863603 30992686
ZFC3H1 12 71609599 71663969
GPX8 5 55160156 55167301
FOLH1B 11 89637520 89698718
DNAJC24 11 31369815 31432835
SLC25A39 17 44319625 44324857
ERGIC1 5 172834220 172952685
CEP85L 6 118460772 118710082
ZFP90 16 68539289 68576072
FKBP11 12 48921959 48925547
ZNF746 7 149472793 149497837
GBP4 1 89181148 89198950
DNAJC8 1 28200278 28233031
EXOC3L2 19 45212621 45234211
DCAF13 8 103414714 103443453
MXRA5 X 3308565 3347092
CCPG1 15 55355223 55408510
DYNC2LI1 2 43774039 43827950
GLT6D1 9 135623656 135641216
RPP21 6 30345129 30346858
BTN2A2 6 26382886 26394874
TBRG1 11 124622599 124635926
TMOD4 1 151169986 151176304
TBC1D10B 16 30357101 30370258
TMEM176B 7 150791287 150801360
DBF4B 17 44708608 44758852
FBLN7 2 112138385 112188218
KCNG1 20 51003656 51023176
TSC22D4 7 100466519 100479279
SHROOM4 X 50576993 50814139
ARL8A 1 202133404 202144743
ZC3H12C 11 110088412 110171841
MRPL9 1 151759643 151763916
MRPS10 6 42206801 42217907
DET1 15 88511482 88546698
FBXO9 6 53057783 53100873
SLC16A8 22 38078137 38083163
ZNF407 18 74597870 75065672
SLC46A2 9 112878920 112890942
TBC1D16 17 79932343 80035867
SNX20 16 50666300 50681353
ELP6 3 47495640 47513722
SPAG7 17 4959226 4967837
LY6K 8 142699928 142704170
TAS2R5 7 141790217 141791366
SPRR2B 1 153070228 153071608
DTX3 12 57604327 57609804
SLITRK5 13 87671232 87679616
KLRC3 12 10412315 10420595
ATP9B 18 79047594 79378283
DMRT2 9 1003242 1057554
AMER2 13 25161679 25172324
CNST 1 246566337 246668587
ZC3H18 16 88570379 88631964
INTS4 11 77878720 77994842
FBXL18 7 5454465 5513805
RGL4 22 23690861 23699705
NDST4 4 114827775 115113876
CCDC28B 1 32200386 32205390
LUZP1 1 23084023 23177808
RCOR3 1 211259366 211316385
ZMAT1 X 101882288 101932135
ATP9A 20 51596775 51768411
GIMAP1 7 150716557 150724280
SRRM4 12 118981486 119163053
TM9SF3 10 96518110 96587052
ASB4 7 95461542 95540231
ZZZ3 1 77561521 77683426
CHST12 7 2403526 2434607
ASCC2 22 29788608 29838304
CDIP1 16 4510675 4538815
TTL 2 112482166 112532770
PLEKHA2 8 38901235 38973912
PARP11 12 3808861 3873448
FSTL5 4 161383892 162164034
LHFPL5 6 35797420 35824075
OTUD1 10 23439269 23442381
ADO 10 62804756 62808479
HOXA6 7 27145583 27147774
EIF4E3 3 71679289 71754773
UTP11 1 38012712 38024825
ISLR 15 74173746 74176871
HMX2 10 123142421 123150672
ATP5G3 2 175176258 175181762
LIMCH1 4 41359607 41700044
CGB8 19 49047638 49049111
FAT2 5 151504092 151652140
EMILIN3 20 41359966 41366858
RAB20 13 110523066 110561737
ACTL7B 9 108854588 108855995
ABRACL 6 139028682 139043302
REEP6 19 1491166 1497925
GPRC5C 17 74424503 74451658
ST8SIA5 18 46679118 46757169
TBPL2 14 55414210 55440545
GMCL1 2 69829642 69881386
AMTN 4 70518572 70532743
SLC39A5 12 56230036 56237846
RNF26 11 119334500 119337314
ARL15 5 53884748 54310586
SEC22A 3 123201927 123274136
IGFBPL1 9 38406528 38424447
SEC14L4 22 30488890 30505711
CARD16 11 105040306 105045416
TRMT44 4 8440778 8516547
ETNPPL 4 108742040 108763079
BFAR 16 14632811 14669236
KCTD2 17 75032567 75065889
ZBED3 5 77076707 77087205
VWA7 6 31765401 31777331
ISL2 15 76335942 76342476
AP5M1 14 57268888 57298742
NSMCE3 15 29268149 29269816
CLUH 17 2689386 2711633
UTP14C 13 52024691 52033600
CBLN2 18 72535898 72638477
KLHL40 3 42685519 42692446
MICALL2 7 1428465 1459497
HECTD3 1 45002546 45011355
YPEL1 22 21697536 21735834
OTUD3 1 19881702 19912945
ANKLE2 12 132725667 132761888
MAST3 19 18097764 18151692
GLIPR1L2 12 75391070 75432688
RPS6KC1 1 213051233 213273465
FOXD2 1 47436017 47440691
ZNF195 11 3357927 3379222
KRT79 12 52821447 52834293
AASDH 4 56337687 56389418
CYP4Z1 1 47067448 47118320
AHDC1 1 27534245 27604178
SLC15A3 11 60937083 60952526
ARPC5L 9 124862135 124877733
CERS4 19 8209329 8262421
BBX 3 107522936 107811329
CSDC2 22 41561010 41576666
TECPR1 7 98215443 98252251
KBTBD7 13 41191575 41194566
TMEM79 1 156282913 156292443
MND1 4 153344649 153415095
ZNF687 1 151281555 151291905
COL22A1 8 138588235 138914094
ZNF276 16 89720195 89740925
SLC24A3 20 19212646 19722897
RALGAPB 20 38472806 38578861
MAGEB1 X 30243731 30252038
TADA2B 4 7043429 7057952
NEK5 13 52036411 52130366
TRIM7 5 181193924 181205293
TARS2 1 150487364 150507609
EPS8L2 11 706120 727727
YPEL5 2 30146884 30160533
OR13G1 1 247672118 247673041
HAUS4 14 22946228 22957142
TSKS 19 49739753 49763328
WRAP73 1 3630767 3650107
TCEA3 1 23380909 23424779
SPSB4 3 141050795 141148611
PCDHA3 5 140801198 141012344
HTR3D 3 184031544 184039369
ZNF93 19 19900913 19935998
CASC4 15 44288616 44415761
MPZL3 11 118226690 118252368
SULT1A4 16 29459886 29464980
EPS8L3 1 109750080 109764022
H2AFJ 12 14774336 14778002
GAL3ST4 7 100159242 100168750
ZNF3 7 100063847 100082548
SIGLEC14 19 51642553 51646879
LILRA5 19 54307070 54313139
TSPAN3 15 77044017 77071228
AWAT2 X 70040542 70049965
SLC6A7 5 150189957 150211072
PDIK1L 1 26111165 26125548
ASIC4 2 219514170 219538772
NT5DC3 12 103763312 103841245
DHRS4L2 14 23969874 24006408
COQ5 12 120503279 120529161
DNAJB5 9 34989369 34998433
RTP1 3 187197486 187201465
MARVELD1 10 97713708 97718152
SCARF2 22 20424584 20437859
INIP 9 112685564 112718107
EBLN1 10 22208814 22209983
PPP4R4 14 94174312 94279755
KRT24 17 40697991 40703750
MZT2A 2 131469724 131492719
SPATA19 11 133835930 133845538
SAMD14 17 50111309 50129882
TMEM100 17 55719627 55732121
MTL5 11 68706674 68751564
PLD6 17 17200995 17206332
CD99L2 X 150766336 150898816
DOLPP1 9 129081104 129090438
BTN3A3 6 26440472 26453415
ISG20L2 1 156721891 156728472
OR4A5 11 54706832 54707902
TRABD2B 1 47760528 47997371
C2orf88 2 189879553 190203484
USP42 7 6078743 6161564
WDR76 15 43826914 43868419
RNF141 11 10511678 10541227
FICD 12 108515211 108521210
ARHGAP23 17 38419286 38512392
GOLGA7 8 41490562 41510980
PAGE5 X 55220347 55224108
VPS26B 11 134224605 134247792
ZNF436 1 23359448 23369864
ESF1 20 13714322 13784933
TBC1D3F 17 36428612 36439523
OR6Y1 1 158547128 158548105
OCIAD2 4 48885380 48906828
ASCL4 12 107774385 107776644
NOL10 2 10570766 10689987
PRRC2B 9 131430090 131500191
ADGRG3 16 57668192 57689378
ZNF627 19 11575272 11619159
TAMM41 3 11790442 11846919
GLT8D2 12 103988984 104064183
OGDHL 10 49734641 49762379
BTBD7 14 93237550 93333092
MRPS21 1 150293842 150308979
KLHDC2 14 49767589 49785660
LRRN2 1 204617170 204685733
FBXO21 12 117143780 117190495
NOC4L 12 132144422 132152473
KLHL24 3 183635011 183684519
HSPB11 1 53921561 53946303
OFCC1 6 9702023 9842630
OFCC1 6 9845518 10159438
RDH16 12 56951431 56959374
DSCR3 21 37223425 37268124
ZSCAN21 7 100049767 100065042
OR2F1 7 143907126 143961015
BTBD3 20 11890723 11926595
B3GNT6 11 77034341 77041973
BPIFB4 20 33081512 33111751
C11orf74 11 36594229 36659291
TRMT112 11 64316492 64318084
SLC10A3 X 154487306 154490690
ETNK2 1 204131061 204152182
MRPL46 15 88459478 88467402
ZKSCAN8 6 28136743 28159472
ANKRD13C 1 70259002 70354788
ZNF827 4 145757627 145938455
CCDC115 2 130337933 130342810
VEPH1 3 157259742 157503626
SCAF8 6 154733378 154834244
KCTD6 3 58492096 58502360
PCDHA12 5 140875302 141012344
MPZL2 11 118253416 118264536
SLC25A44 1 156193932 156212796
ZNF33B 10 42589107 42638836
TMEM189 20 50123737 50153798
TRAPPC6B 14 39147811 39170430
TGDS 13 94574054 94596275
CYP4X1 1 46961364 47050751
MIS18A 21 32268219 32279065
MVB12A 19 17405686 17425339
RAB40B 17 82654959 82698722
CORO7 16 4354542 4416961
BSPH1 19 47968046 47992170
TIMM8B 11 112084800 112086798
TCTEX1D2 3 196291219 196318294
ASB6 9 129634604 129642169
SPCS1 3 52705841 52708182
BAGE 21  
HSPB9 17 42122738 42123353
KRTAP1-1 17 41040559 41041461
KCTD9 8 25427842 25458468
ZDHHC13 11 19117099 19176420
CPNE9 3 9703812 9729908
PALMD 1 99645875 99694541
MTERF3 8 96239398 96261613
CENPV 17 16342534 16353498
MRPS18A 6 43671197 43687812
TRMT12 8 124450807 124453026
GSC2 22 19148991 19150283
ZNF664 12 123973215 124015439
MTG1 10 133394117 133420670
PRODH2 19 35799990 35813299
TMEM57 1 25430858 25500209
GOLT1B 12 21501765 21518403
MYO7B 2 127535693 127637728
MURC 9 100576867 100588402
FEM1C 5 115520908 115544894
APOOL X 85003892 85093317
RPF2 6 110982017 111028263
DNAH3 16 20933111 21159441
CRYL1 13 20403667 20525873
CHCHD1 10 73782050 73783648
FAM89B 11 65572349 65574198
IRX5 16 54931199 54934485
CST9 20 23602410 23605973
LENG8 19 54448719 54462046
JAGN1 3 9890587 9894349
DONSON 21 33577551 33588708
SERINC1 6 122443348 122471807
CASKIN2 17 75500260 75515583
ZMYM6 1 34986165 35031968
LAMB4 7 108003986 108130356
SHKBP1 19 40576851 40591399
CAPN13 2 30722771 30807484
LRFN4 11 66856480 66860475
FBXL17 5 107859033 108382098
UBR7 14 93207056 93229215
MRPL2 6 43054029 43060186
POLR3H 22 41525799 41544606
CLCC1 1 108929508 108963499
WSB2 12 118032687 118062174
TCF15 20 603993 610266
CLECL1 12 9715860 9733299
FGD5 3 14818962 14934565
ELMOD3 2 85354720 85391752
LRRC8E 19 7888505 7902023
ZNF263 16 3283380 3301401
ZNF182 X 47974851 48003995
RGPD5 2 109760607 109857691
WDR20 14 102139842 102224839
TMEM259 19 1009651 1021169
FRMD4B 3 69168782 69541340
INTS9 8 28767658 28890389
LSM11 5 157743695 157760709
NAPB 20 23374519 23421519
GOLPH3L 1 150646225 150697956
RABEPK 9 125200542 125234159
PLAC4 21 41175231 41185239
ROPN1L 5 10441862 10482298
ADAMTS20 12 43352843 43551940
TRMT1 19 13104900 13117567
RIC1 9 5629030 5778015
KRT84 12 52377812 52386906
C3orf35 3 37386269 37435497
TTYH3 7 2631969 2664802
TMOD2 15 51751561 51816363
RNF122 8 33547754 33567128
DAND5 19 12969618 12974753
LRFN5 14 41607561 41904549
VCX X 7842262 7844143
SPNS1 16 28974771 28984762
RALYL 8 84183218 84921844
MRPL17 11 6680385 6683401
ARHGAP19 10 97222173 97292673
ALG10 12 34022281 34028302
RPAIN 17 5419641 5433020
INTS1 7 1470277 1504382
FXYD7 19 35143250 35154302
LAGE3 X 154477769 154479257
AP5Z1 7 4775631 4794395
KATNBL1 15 34140674 34210096
KDELC1 13 102784281 102799054
SSH3 11 67303448 67312607
MMD 17 55392613 55421993
ZNHIT1 7 101217704 101224192
FAM120C X 54068324 54183281
RIC8B 12 106774285 106889316
IGSF6 16 21641284 21652666
OTOS 2 240139029 240140656
CAPS2 12 75257036 75390928
CAPNS2 16 55566672 55567680
CCDC14 3 123887353 123961409
PITPNM2 12 122983480 123150810
KLHL14 18 32672668 32773011
REC114 15 73376209 73560013
TESK2 1 45343883 45491342
TSSC4 11 2400445 2403878
GPR12 13 26755200 26760785
CRNDE 16 54918863 54929189
LAPTM4A 2 20032650 20052028
N4BP1 16 48538726 48610214
DNAH6 2 84459540 84819589
UQCC3 11 62671654 62673690
ATP10D 4 47485271 47593486
LSG1 3 194640788 194672477
AFTPH 2 64524305 64593005
LGALSL 2 64454193 64461383
NDUFB2 7 140696681 140706646
CR1L 1 207645113 207723691
CPEB2 4 15002451 15070153
ADGB 6 146598965 146815462
ZNF449 X 135344757 135363413
RTN4RL1 17 1934677 2025345
CPA5 7 130344790 130374709
TSPYL5 8 97273486 97277948
RMND5A 2 86720291 86778041
PARP12 7 140023744 140063828
PXDNL 8 51319575 51811029
OARD1 6 41066792 41072449
ALS2CR12 2 201288271 201357398
PODN 1 53062052 53085502
TTI2 8 33498509 33513185
METTL9 16 21597221 21657473
FGD2 6 37005647 37029070
GCAT 22 37807900 37817327
HFM1 1 91260766 91408007
KIAA0907 1 155913043 155934442
SPCS2 11 74949247 74979031
RAET1L 6 150018342 150025596
SIGLEC12 19 51491227 51501789
TBL1Y Y 6910686 7091749
ASTL 2 96122817 96143077
DRAXIN 1 11686647 11720612
MOB3B 9 27325209 27529852
WDR18 19 984328 994570
THSD7B 2 136765562 137677717
VPS13D 1 12230039 12512047
IFT74 9 26947039 27066129
CEP85 1 26234153 26279038
STK32B 4 5051211 5500998
UHRF1BP1 6 34792017 34877514
ZNF333 19 14689787 14733746
TTC39B 9 15170844 15307360
HINT3 6 125956715 125980244
LY6G5B 6 31670951 31672450
MDM1 12 68294566 68332381
YIPF3 6 43511827 43516990
